,actual,trainpredict
0,252585557.0,207353616.0
1,-66837260.000000015,22833754.0
2,-53492918.99999999,6140677.0
3,-30720987.000000004,12240279.0
4,-30389479.00000001,-63659008.0
5,-28490429.00000001,-39304016.0
6,-18019611.000000007,55359916.0
7,69620690.99999999,126045544.0
8,96471035.00000001,-4830159.0
9,-76465053.0,-18714432.0
10,5997431.000000011,-12325448.0
11,-82659677.0,-21922662.0
12,-90651683.0,6357093.5
13,-24243766.0,26572686.0
14,145723965.0,102591552.0
15,1164672.000000002,63137088.0
16,-41409461.99999999,-5693173.0
17,-6704461.99999999,-3307482.5
18,-40264727.000000015,-30786636.0
19,-65715370.0,-24201680.0
20,45282949.00000003,28278306.0
21,193350971.0,92265856.0
22,54435680.00000001,-501187.84375
23,-97973467.0,-28767736.0
24,8530002.000000006,-28463590.0
25,-111981226.0,-42396816.0
26,-49559351.99999999,-7872232.0
27,-72859288.00000001,65204128.0
28,67458969.00000001,161535760.0
29,157833926.0,54730012.0
30,28577415.999999985,-15538617.0
31,3219894.9999999907,-11388501.0
32,-148737578.0,-58991244.0
33,-60187828.99999999,-29065218.0
34,30530932.000000015,-10174635.0
35,101680284.0,101291144.0
36,118827961.99999999,83675608.0
37,-40833392.999999985,7685563.5
38,-32055190.999999996,-19337958.0
39,-116492264.0,-69522208.0
40,29428983.000000004,-12039828.0
41,-77469837.0,40967984.0
42,109875138.00000001,105563976.0
43,-15885909.999999996,61045900.0
44,28428549.999999993,12522921.0
45,4681583.999999996,-19373116.0
46,-97431459.0,-36076004.0
47,-69302017.0,9342754.0
48,-4787463.999999993,7297307.0
49,178099321.0,92119216.0
50,5669832.000000004,12499718.0
51,-70515774.0,14692012.0
52,-67046223.99999999,-12134064.0
53,-67708848.0,-32702258.0
54,59758230.0,-1963113.125
55,117993073.99999999,48759452.0
56,67836586.99999999,86689736.0
57,-52921421.00000001,-10130777.0
58,99324789.99999999,-38284420.0
59,-24488762.000000004,-60700720.0
60,-111359746.99999999,-37109772.0
61,5761161.999999988,20418878.0
62,-104816108.0,85065328.0
63,142684534.0,66013724.0
64,-49867104.00000001,9566617.0
65,30233028.999999993,68812856.0
66,7892567.00000001,-13194524.0
67,-81399666.0,-28353376.0
68,-60983555.000000015,-223602.421875
69,-6564225.999999998,-2531440.25
70,94658288.00000001,94498872.0
71,194877373.00000003,6925460.0
72,-156155581.0,-73815.7734375
73,46836827.000000015,-4789724.0
74,-95090354.0,-55499600.0
75,-89472941.0,-6565058.0
76,6870272.0,18601802.0
77,177947341.99999997,133257384.0
78,-45841313.0,79414064.0
79,-22914741.999999993,-28039144.0
80,44415050.0,202201.875
81,-94002162.0,-43132440.0
82,-79724032.0,-23389122.0
83,36666105.99999999,42102420.0
84,-25270372.999999996,118651296.0
85,112668059.99999997,17743610.0
86,3573281.9999999884,6468862.0
87,105581823.0,16000035.0
88,-78628667.0,-55894076.0
89,-113611905.0,-34053184.0
90,114369273.99999999,3824608.5
91,63943104.999999985,20102648.0
92,-12082776.99999999,46984168.0
93,-26370144.000000004,2527546.5
94,4703731.999999999,28729848.0
95,-115441415.00000001,-35981116.0
96,-35349239.99999999,-11668621.0
97,-15494404.000000011,87152336.0
98,221228358.0,81389816.0
99,-116957790.99999999,1872169.5
100,64912016.00000001,11300955.0
101,3346377.9999999995,-22223086.0
102,-87026557.0,-43161404.0
103,-73583344.00000001,-17857220.0
104,-30818366.999999996,45032984.0
105,85046850.99999999,122696800.0
106,13223095.999999993,-7101493.5
107,19212434.999999996,44754576.0
108,32964838.0,-1400247.375
109,-33345335.999999996,-37472148.0
110,-110456542.0,-31638806.0
111,4975378.9999999935,7093681.0
112,175252572.00000003,67407696.0
