,actual,trainpredict
0,244752518.99999997,255680912.0
1,497338076.0,410350240.0
2,430500816.0,445368576.0
3,377007897.0,383733248.0
4,346286910.0,366394944.0
5,315897431.0,299831904.0
6,287407002.0,261213632.0
7,269387391.0,291108832.0
8,339008082.0,340612704.0
9,435479116.99999994,342125568.0
10,359014063.99999994,358511296.0
11,365011495.0,316379648.0
12,282351818.0,297217696.0
13,191700135.0,256137344.0
14,167456369.0,232246864.0
15,313180334.0,305982208.0
16,314345006.0,371219744.0
17,272935544.0,319295808.0
18,266231082.00000003,282932896.0
19,225966355.0,247785632.0
20,160250985.0,214034976.0
21,205533934.0,211469792.0
22,398884905.0,292578592.0
23,453320585.0,353563776.0
24,355347118.0,368075680.0
25,363877120.0,321132480.0
26,251895894.0,263915792.0
27,202336542.0,200767104.0
28,129477254.00000001,239982304.0
29,196936223.0,317879904.0
30,354770148.99999994,349878048.0
31,383347564.99999994,361395808.0
32,386567459.99999994,351811936.0
33,237829882.00000003,330824256.0
34,177642053.0,191435440.0
35,208172985.0,167343648.0
36,309853269.0,298368832.0
37,428681230.99999994,342616736.0
38,387847838.0,369339520.0
39,355792647.0,356442176.0
40,239300383.0,278328416.0
41,268729366.0,190529792.0
42,191259529.0,257638688.0
43,301134667.0,289583776.0
44,285248757.0,339002656.0
45,313677307.0,314182080.0
46,318358891.0,294049504.0
47,220927431.99999997,272483712.0
48,151625415.0,217335376.0
49,146837951.0,200115312.0
50,324937272.0,282891040.0
51,330607104.0,348057632.0
52,260091330.00000003,318649088.0
53,193045106.0,269544480.0
54,125336258.0,186335520.0
55,185094488.0,183417168.0
56,303087562.0,289123424.0
57,370924149.0,339452544.0
58,318002728.0,339463136.0
59,417327518.0,293060576.0
60,392838755.99999994,302506368.0
61,281479009.0,268193472.0
62,287240171.0,223694368.0
63,182424063.0,280365536.0
64,325108597.0,273124352.0
65,275241493.0,333766144.0
66,305474522.0,322540160.0
67,313367089.0,298131424.0
68,231967423.0,282847264.0
69,170983868.0,228344192.0
70,164419642.0,207079840.0
71,259077929.99999997,277346432.0
72,453955303.0,314110048.0
73,297799722.0,369113984.0
74,344636548.99999994,303301632.0
75,249546195.0,271085440.0
76,160073254.0,202313664.0
77,166943526.0,186039360.0
78,344890868.0,306644576.0
79,299049555.0,374816288.0
80,276134813.0,297224160.0
81,320549863.0,278234048.0
82,226547700.99999997,266533664.0
83,146823669.0,197445360.0
84,183489775.0,194955760.0
85,158219402.0,303739008.0
86,270887462.0,279312640.0
87,274460744.0,308521632.0
88,380042566.99999994,292924512.0
89,301413900.0,315002464.0
90,187801995.0,242048544.0
91,302171269.0,166731392.0
92,366114373.99999994,272369184.0
93,354031596.99999994,314689344.0
94,327661453.0,303386304.0
95,332365185.0,304423328.0
96,216923770.0,274342016.0
97,181574530.0,208203712.0
98,166080126.0,255877840.0
99,387308484.0,309307488.0
100,270350693.0,364562560.0
101,335262709.0,288358112.0
102,338609087.0,300914944.0
103,251582530.00000003,268228640.0
104,177999186.0,205898240.0
105,147180819.0,207003072.0
106,232227670.0,282709056.0
107,245450766.0,319728480.0
108,264663201.0,302064544.0
109,297628039.0,285499936.0
110,264282703.0,272351200.0
111,153826161.0,227194208.0
112,158801540.0,167320912.0
113,334054112.0,240280096.0
