report_date,tBalance,yBalance,total_purchase_amt,direct_purchase_amt,purchase_bal_amt,purchase_bank_amt,total_redeem_amt,consume_amt,transfer_amt,tftobal_amt,tftocard_amt,share_amt
2013-07-09,433273777.0,409947895.0,,26755943.0,21541164.0,5214779.0,3473059.0,765509.0,2707550.0,2707550.0,0.0,42998.0
2013-07-10,461373114.0,433273777.0,,30644691.0,20475437.0,10169254.0,2597169.0,603737.0,1993432.0,1993432.0,0.0,51815.0
2013-07-11,501939511.0,461373114.0,,44021031.0,38701392.0,5319639.0,3508800.0,981695.0,2527105.0,2527105.0,0.0,54166.0
2013-07-12,527630842.0,501939511.0,,34126845.0,28358933.0,5767912.0,8492573.0,1371072.0,7121501.0,7121501.0,0.0,57059.0
2013-07-13,539312730.0,527630842.0,,15103661.0,8461168.0,6642493.0,3482829.0,309654.0,3173175.0,3173175.0,0.0,61056.0
2013-07-14,559143926.0,539312730.0,,22554354.0,18447507.0,4106847.0,2784107.0,592038.0,2192069.0,2192069.0,0.0,60949.0
2013-07-15,594164538.0,559143926.0,,48069686.0,28401224.0,19668462.0,13107943.0,1521794.0,11586149.0,11586149.0,0.0,58869.0
2013-07-16,632922404.0,594164538.0,26993257.38516453,50559618.0,39657799.0,10901819.0,11864981.0,1529687.0,10335294.0,10335294.0,0.0,63229.0
2013-07-17,651026573.0,632922404.0,-14361493.849743247,28946382.0,25167271.0,3779111.0,10911513.0,2109498.0,8802015.0,8802015.0,0.0,69300.0
2013-07-18,663495722.0,651026573.0,-21002325.29888946,24160561.0,12633212.0,11527349.0,11765356.0,3195410.0,8569946.0,8569946.0,0.0,73944.0
2013-07-19,687931077.0,663495722.0,13436322.75423053,33603190.0,25296006.0,8307184.0,9244769.0,1204252.0,8040517.0,8040517.0,0.0,76934.0
2013-07-20,703769013.0,687931077.0,1315320.375472486,20360981.0,14965131.0,5395850.0,4601143.0,1780862.0,2820281.0,2820281.0,0.0,78098.0
2013-07-21,722230076.0,703769013.0,-14133051.122911185,21064648.0,14155152.0,6909496.0,2681331.0,761299.0,1920032.0,1920032.0,0.0,77746.0
2013-07-22,743534705.0,722230076.0,-3564671.379845768,40374049.0,33166661.0,7207388.0,19144267.0,605231.0,18539036.0,18539036.0,0.0,74847.0
2013-07-23,777266801.0,743534705.0,32212823.60877341,58056583.0,48105087.0,9951496.0,24404051.0,2173231.0,22230820.0,22230820.0,0.0,79564.0
2013-07-24,789430727.0,777266801.0,1550366.0584575236,48337561.0,38512434.0,9825127.0,36258592.0,712047.0,35546545.0,35546545.0,0.0,84957.0
2013-07-25,808651309.0,789430727.0,-3435430.7202768326,57347209.0,42064761.0,15282448.0,38212836.0,1557611.0,36655225.0,36655225.0,0.0,86209.0
2013-07-26,814180757.0,808651309.0,-393248.8575344682,44633279.0,33299638.0,11333641.0,39192369.0,1035450.0,38156919.0,38156919.0,0.0,88538.0
2013-07-27,816316315.0,814180757.0,-8812683.335977137,17102400.0,10482577.0,6619823.0,15058893.0,1922114.0,13136779.0,13136779.0,0.0,92051.0
2013-07-28,844888486.0,816316315.0,-2115718.189388871,36164421.0,32964064.0,3200357.0,7683211.0,1161872.0,6521339.0,6521339.0,0.0,90961.0
2013-07-29,879801198.0,844888486.0,-7538132.2495030165,53423360.0,41820041.0,11603319.0,18599364.0,1202332.0,17397032.0,17397032.0,0.0,88716.0
2013-07-30,914233859.0,879801198.0,9513314.044972539,47387817.0,33779762.0,13608055.0,13048582.0,1318647.0,11729935.0,11729935.0,0.0,93426.0
2013-07-31,959269456.0,914233859.0,17481893.63496852,54465204.0,46575247.0,7889957.0,9534040.0,1191442.0,8342598.0,8342598.0,0.0,104433.0
2013-08-01,993774950.0,959269456.0,-8863262.470194995,53261431.0,29717147.0,23544284.0,18864468.0,1935577.0,16928891.0,16928891.0,0.0,108531.0
2013-08-02,991688717.0,993774950.0,-2213276.1748802066,37949861.0,25198904.0,12750957.0,40150769.0,1140935.0,39009834.0,39009834.0,0.0,114675.0
2013-08-03,992582709.0,991688717.0,1677369.1705039144,21479421.0,10093238.0,11386183.0,20701797.0,1725397.0,18976400.0,18976400.0,0.0,116368.0
2013-08-04,1030063998.0,992582709.0,2999845.0636443496,45630463.0,41159712.0,4470751.0,8263965.0,1389042.0,6874923.0,6874923.0,0.0,114791.0
2013-08-05,1057898694.0,1030063998.0,-21623100.89630437,43520180.0,18112798.0,25407382.0,15797507.0,1757807.0,14039700.0,14039700.0,0.0,112023.0
2013-08-06,1092363491.0,1057898694.0,14862312.393033087,50749514.0,38122413.0,12627101.0,16401387.0,2956008.0,13445379.0,13445379.0,0.0,116670.0
2013-08-07,1106562866.0,1092363491.0,-6421940.47007072,43781998.0,29774898.0,14007100.0,29708706.0,1552975.0,28155731.0,28155731.0,0.0,126083.0
2013-08-08,1121504665.0,1106562866.0,-15253726.965751827,44364177.0,32476695.0,11887482.0,29551691.0,1136867.0,28414824.0,28414824.0,0.0,129313.0
2013-08-09,1124798836.0,1121504665.0,-4525019.761719823,33294291.0,26619531.0,6674760.0,30131015.0,3500833.0,26630182.0,26630182.0,0.0,130895.0
2013-08-10,1118799735.0,1124798836.0,3042001.288823724,20482505.0,15003071.0,5479434.0,26614408.0,1290443.0,25323965.0,25323965.0,0.0,132802.0
2013-08-11,1158946598.0,1118799735.0,16173670.495608449,55388879.0,49401320.0,5987559.0,15372680.0,925608.0,14447072.0,14447072.0,0.0,130664.0
2013-08-12,1224880431.0,1158946598.0,26070306.358342767,94394024.0,77433832.0,16960192.0,28586669.0,2062992.0,26523677.0,26523677.0,0.0,126478.0
2013-08-13,1244810922.0,1224880431.0,-21961235.2072677,48590757.0,28460439.0,20130318.0,28790328.0,3646077.0,25144251.0,25144251.0,0.0,130162.0
2013-08-14,1260320406.0,1244810922.0,-20850038.668290257,30394880.0,22991641.0,7403239.0,15031683.0,2060843.0,12970840.0,12970840.0,0.0,146287.0
