,actual,trainpredict
0,244752518.99999997,233544176.0
1,497338076.0,361174944.0
2,430500816.0,454881920.0
3,377007897.0,392574144.0
4,346286910.0,362709120.0
5,315897431.0,302282112.0
6,287407002.0,249176160.0
7,269387391.0,287174816.0
8,339008082.0,349092672.0
9,435479116.99999994,356178208.0
10,359014063.99999994,369962976.0
11,365011495.0,312191168.0
12,282351818.0,295688608.0
13,191700135.0,259361088.0
14,167456369.0,227777232.0
15,313180334.0,278641824.0
16,314345006.0,365527808.0
17,272935544.0,335722432.0
18,266231082.00000003,294645440.0
19,225966355.0,261047536.0
20,160250985.0,216487856.0
21,205533934.0,210008992.0
22,398884905.0,281592384.0
23,453320585.0,356365152.0
24,355347118.0,342377536.0
25,363877120.0,274948288.0
26,251895894.0,250565600.0
27,202336542.0,196869184.0
28,129477254.00000001,226814656.0
29,196936223.0,286421376.0
30,354770148.99999994,324664992.0
31,383347564.99999994,364820160.0
32,386567459.99999994,343580416.0
33,237829882.00000003,292759424.0
34,177642053.0,195532432.0
35,208172985.0,160934800.0
36,309853269.0,252264240.0
37,428681230.99999994,341680672.0
38,387847838.0,379566208.0
39,355792647.0,332569728.0
40,239300383.0,256274960.0
41,268729366.0,195367536.0
42,191259529.0,245304656.0
43,301134667.0,278369760.0
44,285248757.0,347659872.0
45,313677307.0,332986560.0
46,318358891.0,303383616.0
47,220927431.99999997,282762208.0
48,151625415.0,228716768.0
49,146837951.0,202038480.0
50,324937272.0,250019104.0
51,330607104.0,331114400.0
52,260091330.00000003,327887040.0
53,193045106.0,269446496.0
54,125336258.0,204969264.0
55,185094488.0,165915984.0
56,303087562.0,237909552.0
57,370924149.0,336225728.0
58,318002728.0,337511424.0
59,417327518.0,275588960.0
60,392838755.99999994,277098816.0
61,281479009.0,251410608.0
62,287240171.0,221722704.0
63,182424063.0,284555680.0
64,325108597.0,265073456.0
65,275241493.0,330783168.0
66,305474522.0,339945568.0
67,313367089.0,311399488.0
68,231967423.0,297354368.0
69,170983868.0,237895808.0
70,164419642.0,212431248.0
71,259077929.99999997,259030208.0
72,453955303.0,298523296.0
73,297799722.0,371145568.0
74,344636548.99999994,284488000.0
75,249546195.0,253861744.0
76,160073254.0,210167008.0
77,166943526.0,178097568.0
78,344890868.0,268711776.0
79,299049555.0,377269024.0
80,276134813.0,310584992.0
81,320549863.0,284288352.0
82,226547700.99999997,272749504.0
83,146823669.0,202176256.0
84,183489775.0,200027584.0
85,158219402.0,280373984.0
86,270887462.0,262490448.0
87,274460744.0,304928800.0
88,380042566.99999994,304510176.0
89,301413900.0,293387072.0
90,187801995.0,238413040.0
91,302171269.0,177754896.0
92,366114373.99999994,258989904.0
93,354031596.99999994,319172544.0
94,327661453.0,307815040.0
95,332365185.0,313846816.0
96,216923770.0,277489632.0
97,181574530.0,214907856.0
98,166080126.0,251455888.0
99,387308484.0,284933024.0
100,270350693.0,366519232.0
101,335262709.0,304435488.0
102,338609087.0,294668768.0
103,251582530.00000003,274390144.0
104,177999186.0,205031792.0
105,147180819.0,214539152.0
106,232227670.0,263078688.0
107,245450766.0,290967072.0
108,264663201.0,311550976.0
109,297628039.0,297884640.0
110,264282703.0,277292448.0
111,153826161.0,230310544.0
112,158801540.0,184000400.0
113,334054112.0,223395136.0
