report_date,tBalance,yBalance,total_purchase_amt,direct_purchase_amt,purchase_bal_amt,purchase_bank_amt,total_redeem_amt,consume_amt,transfer_amt,tftobal_amt,tftocard_amt,share_amt
2013-07-09,433273777.0,409947895.0,26798941.0,26755943.0,21541164.0,5214779.0,-2425216.5425597057,765509.0,2707550.0,2707550.0,0.0,42998.0
2013-07-10,461373114.0,433273777.0,30696506.0,30644691.0,20475437.0,10169254.0,-6116809.012797236,603737.0,1993432.0,1993432.0,0.0,51815.0
2013-07-11,501939511.0,461373114.0,44075197.0,44021031.0,38701392.0,5319639.0,-3750295.8583294675,981695.0,2527105.0,2527105.0,0.0,54166.0
2013-07-12,527630842.0,501939511.0,34183904.0,34126845.0,28358933.0,5767912.0,5341112.8589360155,1371072.0,7121501.0,7121501.0,0.0,57059.0
2013-07-13,539312730.0,527630842.0,15164717.0,15103661.0,8461168.0,6642493.0,-1681692.9563232288,309654.0,3173175.0,3173175.0,0.0,61056.0
2013-07-14,559143926.0,539312730.0,22615303.0,22554354.0,18447507.0,4106847.0,-4050886.316403806,592038.0,2192069.0,2192069.0,0.0,60949.0
2013-07-15,594164538.0,559143926.0,48128555.0,48069686.0,28401224.0,19668462.0,3203926.268446028,1521794.0,11586149.0,11586149.0,0.0,58869.0
2013-07-16,632922404.0,594164538.0,50622847.0,50559618.0,39657799.0,10901819.0,2390717.212828882,1529687.0,10335294.0,10335294.0,0.0,63229.0
2013-07-17,651026573.0,632922404.0,29015682.0,28946382.0,25167271.0,3779111.0,-2519468.989229016,2109498.0,8802015.0,8802015.0,0.0,69300.0
2013-07-18,663495722.0,651026573.0,24234505.0,24160561.0,12633212.0,11527349.0,-1213386.2073457837,3195410.0,8569946.0,8569946.0,0.0,73944.0
2013-07-19,687931077.0,663495722.0,33680124.0,33603190.0,25296006.0,8307184.0,-1452461.5783765092,1204252.0,8040517.0,8040517.0,0.0,76934.0
2013-07-20,703769013.0,687931077.0,20439079.0,20360981.0,14965131.0,5395850.0,-4453081.846745014,1780862.0,2820281.0,2820281.0,0.0,78098.0
2013-07-21,722230076.0,703769013.0,21142394.0,21064648.0,14155152.0,6909496.0,-6584680.057705998,761299.0,1920032.0,1920032.0,0.0,77746.0
2013-07-22,743534705.0,722230076.0,40448896.0,40374049.0,33166661.0,7207388.0,6663047.806894533,605231.0,18539036.0,18539036.0,0.0,74847.0
2013-07-23,777266801.0,743534705.0,58136147.0,58056583.0,48105087.0,9951496.0,10156994.950413823,2173231.0,22230820.0,22230820.0,0.0,79564.0
2013-07-24,789430727.0,777266801.0,48422518.0,48337561.0,38512434.0,9825127.0,15553117.082547352,712047.0,35546545.0,35546545.0,0.0,84957.0
2013-07-25,808651309.0,789430727.0,57433418.0,57347209.0,42064761.0,15282448.0,11801666.120803297,1557611.0,36655225.0,36655225.0,0.0,86209.0
2013-07-26,814180757.0,808651309.0,44721817.0,44633279.0,33299638.0,11333641.0,11800570.701823294,1035450.0,38156919.0,38156919.0,0.0,88538.0
2013-07-27,816316315.0,814180757.0,17194451.0,17102400.0,10482577.0,6619823.0,-12794463.760688066,1922114.0,13136779.0,13136779.0,0.0,92051.0
