,actual,trainpredict
0,30696506.000000004,8385080.0
1,44075197.0,8442281.0
2,34183904.0,25551222.0
3,15164717.0,15095541.0
4,22615303.0,1442640.875
5,48128555.0,19201022.0
6,50622847.0,17433462.0
7,29015682.0,30768078.0
8,24234505.0,16291898.0
9,33680124.0,8254328.5
10,20439079.0,13152855.0
11,21142394.0,9864583.0
12,40448896.0,14102986.0
13,58136147.0,20310156.0
14,48422518.0,27555748.0
15,57433418.0,27284766.0
16,44721817.0,35601744.0
17,17194451.0,22064482.0
18,36255382.0,8380359.5
19,53512076.0,28550158.0
20,47481243.0,35480000.0
21,54569637.0,27462160.0
22,53369962.0,39602568.0
23,38064536.0,29507060.0
24,21595789.0,18761498.0
25,45745254.0,19107620.0
26,43632203.0,31880472.0
27,50866184.0,25491508.0
28,43908081.0,35083288.0
29,44493490.0,28059494.0
30,33425185.999999996,23071892.0
31,20615307.0,19031388.0
32,55519543.0,15679726.0
33,94520502.0,35045144.0
34,48720919.0,63256576.0
35,30541166.999999996,28178644.0
36,42421222.0,22741352.0
37,41683536.0,25548556.0
38,17670519.0,23380970.0
39,59703092.0,22359410.0
40,109184209.0,46816916.0
41,53675509.0,62378700.0
42,38184446.0,33118104.0
43,89130737.0,32891484.0
44,37878575.0,61544268.0
45,44367268.0,18179142.0
46,43306288.0,50000564.0
47,74496541.0,41834720.0
48,45268028.0,37332860.0
49,46602319.0,38986880.0
50,47518666.0,42101472.0
51,56488844.0,23057484.0
52,47655303.0,41487592.0
53,56239802.0,35414348.0
54,140844739.0,44613244.0
55,80507880.0,94355344.0
56,33366707.999999996,56698812.0
57,38716505.0,29166998.0
58,38923186.0,37911712.0
59,34076183.0,23603680.0
60,38796909.0,37241576.0
61,49312473.0,47770228.0
62,94684143.0,19037806.0
63,98944459.0,63043004.0
64,68573684.0,70441976.0
65,71655946.0,46399836.0
66,30975443.000000004,53673800.0
67,37059683.0,24049328.0
68,161656210.0,35260800.0
69,76204815.0,135985408.0
70,42926608.0,51710084.0
71,24778048.0,36997928.0
72,28365762.0,30687524.0
73,32406340.0,6874988.0
74,67514169.0,40580584.0
75,54658160.0,72352000.0
76,74250859.0,16723507.0
77,47274168.0,53605428.0
78,68718693.0,29910114.0
79,42166121.0,46821176.0
80,39995798.0,32344114.0
81,34433848.0,33961600.0
82,28398050.0,25124598.0
83,19137499.0,22423478.0
84,11562708.0,9693414.0
85,10101194.0,10666036.0
86,19907689.0,-3145158.25
87,26364686.0,8139691.0
88,38730653.0,7825454.0
89,42797733.0,15187904.0
90,109806912.0,16865738.0
91,72422299.0,64841932.0
92,72094613.0,40904916.0
