report_date,tBalance,yBalance,total_purchase_amt,direct_purchase_amt,purchase_bal_amt,purchase_bank_amt,total_redeem_amt,consume_amt,transfer_amt,tftobal_amt,tftocard_amt,share_amt
2013-07-01,252327861.0,225364535.0,32488348.0,32458786.0,21250722.0,11208064.0,5525022.0,382160.0,5142862.0,5142862.0,0.0,29562.0
2013-07-02,278810703.0,252327861.0,29037390.0,29007510.0,16561183.0,12446327.0,2554548.0,350066.0,2204482.0,2204482.0,0.0,29880.0
2013-07-03,300127606.0,278810703.0,27270770.0,27234156.0,20493660.0,6740496.0,5953867.0,454406.0,5499461.0,5499461.0,0.0,36614.0
2013-07-04,312038062.0,300127606.0,18321185.0,18282230.0,12108178.0,6174052.0,6410729.0,535391.0,5875338.0,5875338.0,0.0,38955.0
2013-07-05,320923224.0,312038062.0,11648749.0,11607991.0,6930431.0,4677560.0,2763587.0,697926.0,2065661.0,2065661.0,0.0,40758.0
2013-07-06,356057861.0,320923224.0,36751272.0,36709190.0,31533483.0,5175707.0,1616635.0,300533.0,1316102.0,1316102.0,0.0,42082.0
2013-07-07,361037358.0,356057861.0,8962232.0,8920335.0,5257768.0,3662567.0,3982735.0,336880.0,3645855.0,3645855.0,0.0,41897.0
2013-07-08,409947895.0,361037358.0,57258266.0,57218409.0,47490938.0,9727471.0,8347729.0,852530.0,7495199.0,7495199.0,0.0,39857.0
2013-07-09,433273777.0,409947895.0,26798941.0,26755943.0,21541164.0,5214779.0,3473059.0,765509.0,2707550.0,2707550.0,0.0,42998.0
2013-07-10,461373114.0,433273777.0,30696506.0,30644691.0,20475437.0,10169254.0,2597169.0,603737.0,1993432.0,1993432.0,0.0,51815.0
2013-07-11,501939511.0,461373114.0,44075197.0,44021031.0,38701392.0,5319639.0,3508800.0,981695.0,2527105.0,2527105.0,0.0,54166.0
2013-07-12,527630842.0,501939511.0,34183904.0,34126845.0,28358933.0,5767912.0,8492573.0,1371072.0,7121501.0,7121501.0,0.0,57059.0
2013-07-13,539312730.0,527630842.0,15164717.0,15103661.0,8461168.0,6642493.0,3482829.0,309654.0,3173175.0,3173175.0,0.0,61056.0
2013-07-14,559143926.0,539312730.0,22615303.0,22554354.0,18447507.0,4106847.0,2784107.0,592038.0,2192069.0,2192069.0,0.0,60949.0
2013-07-15,594164538.0,559143926.0,48128555.0,48069686.0,28401224.0,19668462.0,13107943.0,1521794.0,11586149.0,11586149.0,0.0,58869.0
2013-07-16,632922404.0,594164538.0,50622847.0,50559618.0,39657799.0,10901819.0,11864981.0,1529687.0,10335294.0,10335294.0,0.0,63229.0
2013-07-17,651026573.0,632922404.0,29015682.0,28946382.0,25167271.0,3779111.0,10911513.0,2109498.0,8802015.0,8802015.0,0.0,69300.0
2013-07-18,663495722.0,651026573.0,24234505.0,24160561.0,12633212.0,11527349.0,11765356.0,3195410.0,8569946.0,8569946.0,0.0,73944.0
2013-07-19,687931077.0,663495722.0,33680124.0,33603190.0,25296006.0,8307184.0,9244769.0,1204252.0,8040517.0,8040517.0,0.0,76934.0
2013-07-20,703769013.0,687931077.0,20439079.0,20360981.0,14965131.0,5395850.0,4601143.0,1780862.0,2820281.0,2820281.0,0.0,78098.0
2013-07-21,722230076.0,703769013.0,21142394.0,21064648.0,14155152.0,6909496.0,2681331.0,761299.0,1920032.0,1920032.0,0.0,77746.0
2013-07-22,743534705.0,722230076.0,40448896.0,40374049.0,33166661.0,7207388.0,19144267.0,605231.0,18539036.0,18539036.0,0.0,74847.0
2013-07-23,777266801.0,743534705.0,58136147.0,58056583.0,48105087.0,9951496.0,24404051.0,2173231.0,22230820.0,22230820.0,0.0,79564.0
2013-07-24,789430727.0,777266801.0,48422518.0,48337561.0,38512434.0,9825127.0,36258592.0,712047.0,35546545.0,35546545.0,0.0,84957.0
2013-07-25,808651309.0,789430727.0,57433418.0,57347209.0,42064761.0,15282448.0,38212836.0,1557611.0,36655225.0,36655225.0,0.0,86209.0
2013-07-26,814180757.0,808651309.0,44721817.0,44633279.0,33299638.0,11333641.0,39192369.0,1035450.0,38156919.0,38156919.0,0.0,88538.0
2013-07-27,816316315.0,814180757.0,17194451.0,17102400.0,10482577.0,6619823.0,15058893.0,1922114.0,13136779.0,13136779.0,0.0,92051.0
2013-07-28,844888486.0,816316315.0,36255382.0,36164421.0,32964064.0,3200357.0,7683211.0,1161872.0,6521339.0,6521339.0,0.0,90961.0
2013-07-29,879801198.0,844888486.0,53512076.0,53423360.0,41820041.0,11603319.0,18599364.0,1202332.0,17397032.0,17397032.0,0.0,88716.0
2013-07-30,914233859.0,879801198.0,47481243.0,47387817.0,33779762.0,13608055.0,13048582.0,1318647.0,11729935.0,11729935.0,0.0,93426.0
2013-07-31,959269456.0,914233859.0,54569637.0,54465204.0,46575247.0,7889957.0,9534040.0,1191442.0,8342598.0,8342598.0,0.0,104433.0
2013-08-01,993774950.0,959269456.0,53369962.0,53261431.0,29717147.0,23544284.0,18864468.0,1935577.0,16928891.0,16928891.0,0.0,108531.0
2013-08-02,991688717.0,993774950.0,38064536.0,37949861.0,25198904.0,12750957.0,40150769.0,1140935.0,39009834.0,39009834.0,0.0,114675.0
2013-08-03,992582709.0,991688717.0,21595789.0,21479421.0,10093238.0,11386183.0,20701797.0,1725397.0,18976400.0,18976400.0,0.0,116368.0
2013-08-04,1030063998.0,992582709.0,45745254.0,45630463.0,41159712.0,4470751.0,8263965.0,1389042.0,6874923.0,6874923.0,0.0,114791.0
2013-08-05,1057898694.0,1030063998.0,43632203.0,43520180.0,18112798.0,25407382.0,15797507.0,1757807.0,14039700.0,14039700.0,0.0,112023.0
2013-08-06,1092363491.0,1057898694.0,50866184.0,50749514.0,38122413.0,12627101.0,16401387.0,2956008.0,13445379.0,13445379.0,0.0,116670.0
2013-08-07,1106562866.0,1092363491.0,43908081.0,43781998.0,29774898.0,14007100.0,29708706.0,1552975.0,28155731.0,28155731.0,0.0,126083.0
2013-08-08,1121504665.0,1106562866.0,44493490.0,44364177.0,32476695.0,11887482.0,29551691.0,1136867.0,28414824.0,28414824.0,0.0,129313.0
2013-08-09,1124798836.0,1121504665.0,33425186.0,33294291.0,26619531.0,6674760.0,30131015.0,3500833.0,26630182.0,26630182.0,0.0,130895.0
2013-08-10,1118799735.0,1124798836.0,20615307.0,20482505.0,15003071.0,5479434.0,26614408.0,1290443.0,25323965.0,25323965.0,0.0,132802.0
2013-08-11,1158946598.0,1118799735.0,55519543.0,55388879.0,49401320.0,5987559.0,15372680.0,925608.0,14447072.0,14447072.0,0.0,130664.0
2013-08-12,1224880431.0,1158946598.0,94520502.0,94394024.0,77433832.0,16960192.0,28586669.0,2062992.0,26523677.0,26523677.0,0.0,126478.0
2013-08-13,1244810922.0,1224880431.0,48720919.0,48590757.0,28460439.0,20130318.0,28790328.0,3646077.0,25144251.0,25144251.0,0.0,130162.0
2013-08-14,1260320406.0,1244810922.0,30541167.0,30394880.0,22991641.0,7403239.0,15031683.0,2060843.0,12970840.0,12970840.0,0.0,146287.0
2013-08-15,1250082301.0,1260320406.0,42421222.0,42271280.0,30267955.0,12003325.0,52659327.0,6412165.0,46247162.0,46247162.0,0.0,149942.0
2013-08-16,1258025993.0,1250082301.0,41683536.0,41535972.0,29961502.0,11574470.0,33739844.0,1588741.0,32151103.0,32151103.0,0.0,147564.0
2013-08-17,1271021529.0,1258025993.0,17670519.0,17522875.0,10792404.0,6730471.0,4674983.0,1555761.0,3119222.0,3119222.0,0.0,147644.0
2013-08-18,1315506321.0,1271021529.0,59703092.0,59555804.0,48363051.0,11192753.0,15218300.0,1049130.0,14169170.0,13607144.0,562026.0,147288.0
2013-08-19,1396351270.0,1315506321.0,109184209.0,109039743.0,93558910.0,15480833.0,28339260.0,2827001.0,25512259.0,24585884.0,926375.0,144466.0
2013-08-20,1419895554.0,1396351270.0,53675509.0,53525266.0,32336915.0,21188351.0,30131225.0,2331156.0,27800069.0,22614527.0,5185542.0,150243.0
2013-08-21,1428096658.0,1419895554.0,38184446.0,38016570.0,22840717.0,15175853.0,29983342.0,1487466.0,28495876.0,28056688.0,439188.0,167876.0
2013-08-22,1492226723.0,1428096658.0,89130737.0,88961196.0,75601493.0,13359703.0,25000672.0,2011337.0,22989335.0,4751853.0,18237482.0,169541.0
2013-08-23,1504424975.0,1492226723.0,37878575.0,37707135.0,21923609.0,15783526.0,25680323.0,2928413.0,22751910.0,16963681.0,5788229.0,171440.0
2013-08-24,1534475645.0,1504424975.0,44367268.0,44188538.0,32022342.0,12166196.0,14316598.0,3151997.0,11164601.0,5951141.0,5213460.0,178730.0
2013-08-25,1559664125.0,1534475645.0,43306288.0,43128521.0,28531519.0,14597002.0,18117808.0,1946279.0,16171529.0,8774008.0,7397521.0,177767.0
2013-08-26,1613522680.0,1559664125.0,74496541.0,74325753.0,50885562.0,23440191.0,20637986.0,3918170.0,16719816.0,7070763.0,9649053.0,170788.0
2013-08-27,1598653075.0,1613522680.0,45268028.0,45089370.0,33855884.0,11233486.0,60137633.0,1713586.0,58424047.0,5683840.0,52740207.0,178658.0
2013-08-28,1611558533.0,1598653075.0,46602319.0,46414328.0,26923896.0,19490432.0,33696861.0,3193850.0,30503011.0,27302135.0,3200876.0,187991.0
2013-08-29,1623132231.0,1611558533.0,47518666.0,47312464.0,36868023.0,10444441.0,35944968.0,9618879.0,26326089.0,6450910.0,19875179.0,206202.0
2013-08-30,1658990323.0,1623132231.0,56488844.0,56266206.0,37466526.0,18799680.0,20630752.0,7687108.0,12943644.0,6673809.0,6269835.0,222638.0
2013-08-31,1684633610.0,1658990323.0,47655303.0,47459849.0,25669538.0,21790311.0,22012016.0,3582164.0,18429852.0,16052130.0,2377722.0,195454.0
2013-09-01,1681533463.0,1684633610.0,56239802.0,56045782.0,36564187.0,19481595.0,59339949.0,8984938.0,50355011.0,4349781.0,46005230.0,194020.0
2013-09-02,1804592678.0,1681533463.0,140844739.0,140622201.0,103991419.0,36630782.0,17785524.0,4903664.0,12881860.0,6708784.0,6173076.0,222538.0
2013-09-03,1845772414.0,1804592678.0,80507880.0,80314060.0,51070577.0,29243483.0,39328144.0,3826502.0,35501642.0,13629313.0,21872329.0,193820.0
2013-09-04,1851686522.0,1845772414.0,33366708.0,33149101.0,22039123.0,11109978.0,27452600.0,5123201.0,22329399.0,4079727.0,18249672.0,217607.0
2013-09-05,1868602123.0,1851686522.0,38716505.0,38491932.0,18051917.0,20440015.0,21800904.0,4026090.0,17774814.0,5870621.0,11904193.0,224573.0
2013-09-06,1874107406.0,1868602123.0,38923186.0,38648043.0,17570388.0,21077655.0,33417903.0,2960086.0,30457817.0,16081369.0,14376448.0,275143.0
2013-09-07,1887839165.0,1874107406.0,34076183.0,33848786.0,19377542.0,14471244.0,20344424.0,4674119.0,15670305.0,8126616.0,7543689.0,227397.0
2013-09-08,1911716952.0,1887839165.0,38796909.0,38571047.0,23022708.0,15548339.0,14919122.0,3458751.0,11460371.0,6590099.0,4870272.0,225862.0
2013-09-09,1915408239.0,1911716952.0,49312473.0,49051334.0,28145783.0,20905551.0,45621186.0,5640803.0,39980383.0,22470137.0,17510246.0,261139.0
2013-09-10,1972964019.0,1915408239.0,94684143.0,94427415.0,59214774.0,35212641.0,37128363.0,4737939.0,32390424.0,14101974.0,18288450.0,256728.0
2013-09-11,2000234396.0,1972964019.0,98944459.0,98709145.0,71068310.0,27640835.0,71674082.0,4887487.0,66786595.0,8915582.0,57871013.0,235314.0
2013-09-12,2023660860.0,2000234396.0,68573684.0,68334304.0,43875535.0,24458769.0,45147220.0,6134732.0,39012488.0,6425604.0,32586884.0,239380.0
2013-09-13,2034804131.0,2023660860.0,71655946.0,71385620.0,41601351.0,29784269.0,60512675.0,6513431.0,53999244.0,23753632.0,30245612.0,270326.0
2013-09-14,2029466914.0,2034804131.0,30975443.0,30726657.0,14850336.0,15876321.0,36312660.0,2449865.0,33862795.0,9025416.0,24837379.0,248786.0
2013-09-15,2041505882.0,2029466914.0,37059683.0,36813279.0,22142657.0,14670622.0,25020715.0,2993592.0,22027123.0,15270867.0,6756256.0,246404.0
2013-09-16,2157977503.0,2041505882.0,161656210.0,161382323.0,134330619.0,27051704.0,45184589.0,4585488.0,40599101.0,10354185.0,30244916.0,273887.0
2013-09-17,2175921520.0,2157977503.0,76204815.0,75960756.0,50504307.0,25456449.0,58260798.0,3075100.0,55185698.0,18859824.0,36325874.0,244059.0
2013-09-18,2171644907.0,2175921520.0,42926608.0,42645589.0,27232465.0,15413124.0,47203221.0,2788140.0,44415081.0,23818473.0,20596608.0,281019.0
2013-09-19,2185004443.0,2171644907.0,24778048.0,24509091.0,12890601.0,11618490.0,11418512.0,2197881.0,9220631.0,6772365.0,2448266.0,268957.0
2013-09-20,2198181951.0,2185004443.0,28365762.0,28094290.0,18054480.0,10039810.0,15188254.0,2462918.0,12725336.0,3457926.0,9267410.0,271472.0
2013-09-21,2203992112.0,2198181951.0,32406340.0,32133842.0,18601415.0,13532427.0,26596179.0,2655841.0,23940338.0,17880107.0,6060231.0,272498.0
2013-09-22,2223544226.0,2203992112.0,67514169.0,67243692.0,36029859.0,31213833.0,47962055.0,4795752.0,43166303.0,22340098.0,20826205.0,270477.0
2013-09-23,2219916507.0,2223544226.0,54658160.0,54396879.0,22328835.0,32068044.0,58285879.0,13664826.0,44621053.0,30024517.0,14596536.0,261281.0
2013-09-24,2237486574.0,2219916507.0,74250859.0,73973408.0,48700610.0,25272798.0,56680792.0,6876331.0,49804461.0,22552195.0,27252266.0,277451.0
2013-09-25,2209922580.0,2237486574.0,47274168.0,46973702.0,20104663.0,26869039.0,74838162.0,3878952.0,70959210.0,41253857.0,29705353.0,300466.0
2013-09-26,2230173744.0,2209922580.0,68718693.0,68406175.0,50986446.0,17419729.0,48467529.0,8338252.0,40129277.0,21599517.0,18529760.0,312518.0
2013-09-27,2244700262.0,2230173744.0,42166121.0,41868120.0,27267839.0,14600281.0,27639603.0,3797939.0,23841664.0,11564733.0,12276931.0,298001.0
2013-09-28,2226590340.0,2244700262.0,39995798.0,39706452.0,14563705.0,25142747.0,58105720.0,6761391.0,51344329.0,16876243.0,34468086.0,289346.0
2013-09-29,2220728986.0,2226590340.0,34433848.0,34151131.0,14055266.0,20095865.0,40295202.0,6378811.0,33916391.0,22588058.0,11328333.0,282717.0
2013-09-30,2218945683.0,2220728986.0,28398050.0,28118755.0,8182452.0,19936303.0,30181353.0,9842291.0,20339062.0,14254160.0,6084902.0,279295.0
2013-10-01,2225269915.0,2218945683.0,19137499.0,18857154.0,6502928.0,12354226.0,12813267.0,2004563.0,10808704.0,7433180.0,3375524.0,280345.0
2013-10-02,2229598749.0,2225269915.0,11562708.0,11272068.0,4072819.0,7199249.0,7233874.0,2386169.0,4847705.0,2880222.0,1967483.0,290640.0
2013-10-03,2233476680.0,2229598749.0,10101194.0,9809448.0,4241086.0,5568362.0,6223263.0,1502285.0,4720978.0,1589382.0,3131596.0,291746.0
2013-10-04,2229972019.0,2233476680.0,19907689.0,19615445.0,8598422.0,11017023.0,23412350.0,4280664.0,19131686.0,11492105.0,7639581.0,292244.0
2013-10-05,2242370252.0,2229972019.0,26364686.0,26074038.0,16185006.0,9889032.0,13966453.0,1514007.0,12452446.0,10249721.0,2202725.0,290648.0
2013-10-06,2267636377.0,2242370252.0,38730653.0,38442637.0,26616850.0,11825787.0,13464528.0,2931570.0,10532958.0,8922594.0,1610364.0,288016.0
2013-10-07,2281539710.0,2267636377.0,42797733.0,42511148.0,29976033.0,12535115.0,28894400.0,6620676.0,22273724.0,7474553.0,14799171.0,286585.0
2013-10-08,2313490526.0,2281539710.0,109806912.0,109484867.0,70814343.0,38670524.0,77856096.0,7122908.0,70733188.0,11651151.0,59082037.0,322045.0
2013-10-09,2351913449.0,2313490526.0,72422299.0,72136946.0,38830790.0,33306156.0,33999376.0,8883001.0,25116375.0,10678490.0,14437885.0,285353.0
2013-10-10,2371763531.0,2351913449.0,72094613.0,71796476.0,36544934.0,35251542.0,52244531.0,7061370.0,45183161.0,11880117.0,33303044.0,298137.0
2013-10-11,2426771815.0,2371763531.0,82674757.0,82372594.0,43296363.0,39076231.0,27666473.0,3564500.0,24101973.0,12783375.0,11318598.0,302163.0
2013-10-12,2477349968.0,2426771815.0,81901136.0,81593823.0,42609762.0,38984061.0,31322983.0,6943327.0,24379656.0,6524375.0,17855281.0,307313.0
2013-10-13,2516649474.0,2477349968.0,71149981.0,70845311.0,32822745.0,38022566.0,31850475.0,4273577.0,27576898.0,10611383.0,16965515.0,304670.0
2013-10-14,2606312149.0,2516649474.0,130315300.0,130020702.0,75489865.0,54530837.0,40652625.0,7783174.0,32869451.0,14896890.0,17972561.0,294598.0
2013-10-15,2656917255.0,2606312149.0,85704304.0,85388933.0,41656981.0,43731952.0,35099198.0,7010950.0,28088248.0,10639886.0,17448362.0,315371.0
2013-10-16,2706603364.0,2656917255.0,100948091.0,100610077.0,49684423.0,50925654.0,51261982.0,8108405.0,43153577.0,8534326.0,34619251.0,338014.0
2013-10-17,2770531817.0,2706603364.0,87203217.0,86867001.0,35808629.0,51058372.0,23274764.0,5594997.0,17679767.0,4512267.0,13167500.0,336216.0
2013-10-18,2852744912.0,2770531817.0,98151450.0,97805294.0,49716816.0,48088478.0,15938355.0,4197983.0,11740372.0,9265936.0,2474436.0,346156.0
2013-10-19,2879208658.0,2852744912.0,53148443.0,52794624.0,17807708.0,34986916.0,26684697.0,7939723.0,18744974.0,7947251.0,10797723.0,353819.0
2013-10-20,2876090997.0,2879208658.0,47766681.0,47414924.0,23808286.0,23606638.0,50884342.0,4669856.0,46214486.0,3590393.0,42624093.0,351757.0
2013-10-21,2936339884.0,2876090997.0,106030290.0,105669458.0,38771841.0,66897617.0,45781403.0,15776938.0,30004465.0,12306385.0,17698080.0,360832.0
2013-10-22,2985778843.0,2936339884.0,145611496.0,145262654.0,80208449.0,65054205.0,96172537.0,17065810.0,79106727.0,39792495.0,39314232.0,348842.0
2013-10-23,3018083493.0,2985778843.0,106093112.0,105727597.0,55822529.0,49905068.0,73788462.0,12090715.0,61697747.0,24671186.0,37026561.0,365515.0
2013-10-24,3029430402.0,3018083493.0,69530830.0,69158484.0,20287230.0,48871254.0,58183921.0,7363228.0,50820693.0,24085834.0,26734859.0,372346.0
2013-10-25,3047141053.0,3029430402.0,69936453.0,69558797.0,26323562.0,43235235.0,52225802.0,11129979.0,41095823.0,15388480.0,25707343.0,377656.0
2013-10-26,3053536348.0,3047141053.0,55752506.0,55373965.0,14759985.0,40613980.0,49357211.0,4620277.0,44736934.0,3869269.0,40867665.0,378541.0
2013-10-27,3075023321.0,3053536348.0,68007543.0,67634331.0,36450109.0,31184222.0,46520570.0,11575035.0,34945535.0,22721764.0,12223771.0,373212.0
2013-10-28,3149927232.0,3075023321.0,129993375.0,129632574.0,67259575.0,62372999.0,55089464.0,12996206.0,42093258.0,16468981.0,25624277.0,360801.0
2013-10-29,3208924908.0,3149927232.0,102050144.0,101671985.0,50888468.0,50783517.0,43052468.0,5155539.0,37896929.0,22855535.0,15041394.0,378159.0
2013-10-30,3254679467.0,3208924908.0,109663260.0,109262475.0,57375950.0,51886525.0,63908701.0,7047733.0,56860968.0,22494418.0,34366550.0,400785.0
2013-10-31,3289998335.0,3254679467.0,90926701.0,90518963.0,33377309.0,57141654.0,55607833.0,9967594.0,45640239.0,9460426.0,36179813.0,407738.0
2013-11-01,3373970161.0,3289998335.0,150904945.0,150490888.0,97662024.0,52828864.0,66933119.0,8910803.0,58022316.0,20798916.0,37223400.0,414057.0
2013-11-02,3409396955.0,3373970161.0,62132300.0,61714348.0,23865307.0,37849041.0,26705506.0,9215431.0,17490075.0,7143672.0,10346403.0,417952.0
2013-11-03,3447209071.0,3409396955.0,68707870.0,68291959.0,30519678.0,37772281.0,30895754.0,8410792.0,22484962.0,14516429.0,7968533.0,415911.0
2013-11-04,3616266423.0,3447209071.0,300027403.0,299614565.0,237955005.0,61659560.0,130970051.0,7225760.0,123744291.0,8145407.0,115598884.0,412838.0
2013-11-05,3714481373.0,3616266423.0,180904814.0,180478015.0,64596913.0,115881102.0,82689864.0,12228633.0,70461231.0,14710337.0,55750894.0,426799.0
2013-11-06,3764248463.0,3714481373.0,181474910.0,181014598.0,38422060.0,142592538.0,131707820.0,19226831.0,112480989.0,49152384.0,63328605.0,460312.0
2013-11-07,3848905475.0,3764248463.0,167963464.0,167495139.0,39534732.0,127960407.0,83306452.0,13495904.0,69810548.0,18133158.0,51677390.0,468325.0
2013-11-08,3987798639.0,3848905475.0,231749471.0,231270156.0,124106307.0,107163849.0,92856307.0,10129799.0,82726508.0,13757231.0,68969277.0,479315.0
2013-11-09,4068379896.0,3987798639.0,126467028.0,125980699.0,36733104.0,89247595.0,45885771.0,10908069.0,34977702.0,7874091.0,27103611.0,486329.0
2013-11-10,4147899723.0,4068379896.0,164813471.0,164328004.0,48481839.0,115846165.0,85293644.0,21808380.0,63485264.0,25181514.0,38303750.0,485467.0
2013-11-11,4068761211.0,4147899723.0,147986439.0,147425452.0,69094170.0,78331282.0,227124951.0,180655486.0,46469465.0,7155297.0,39314168.0,560987.0
2013-11-12,4085967334.0,4068761211.0,148469647.0,147913613.0,75656414.0,72257199.0,131263524.0,12308127.0,118955397.0,13535932.0,105419465.0,556034.0
2013-11-13,4181400870.0,4085967334.0,174554976.0,174000238.0,104660075.0,69340163.0,79121440.0,14898738.0,64222702.0,36973694.0,27249008.0,554738.0
2013-11-14,4296842778.0,4181400870.0,167996058.0,167462695.0,85700589.0,81762106.0,52554150.0,8088009.0,44466141.0,22737277.0,21728864.0,533363.0
2013-11-15,4362903228.0,4296842778.0,124270704.0,123661256.0,44129861.0,79531395.0,58210254.0,9874031.0,48336223.0,13669346.0,34666877.0,609448.0
2013-11-16,4451992661.0,4362903228.0,118085705.0,117530834.0,62614420.0,54916414.0,28996272.0,7299663.0,21696609.0,15626737.0,6069872.0,554871.0
2013-11-17,4521421128.0,4451992661.0,111786622.0,111233475.0,45938489.0,65294986.0,42358155.0,10008509.0,32349646.0,17699482.0,14650164.0,553147.0
2013-11-18,4580270823.0,4521421128.0,195766477.0,195210552.0,94427782.0,100782770.0,136916782.0,14312742.0,122604040.0,41227427.0,81376613.0,555925.0
2013-11-19,4641328007.0,4580270823.0,131365419.0,130801756.0,47990602.0,82811154.0,70308235.0,14639949.0,55668286.0,15545895.0,40122391.0,563663.0
2013-11-20,4720539791.0,4641328007.0,166163002.0,165560984.0,56087750.0,109473234.0,86951218.0,13264281.0,73686937.0,22879788.0,50807149.0,602018.0
2013-11-21,4866972767.0,4720539791.0,221166938.0,220554500.0,118123549.0,102430951.0,74733962.0,8839246.0,65894716.0,16100622.0,49794094.0,612438.0
2013-11-22,4912783533.0,4866972767.0,128528687.0,127901717.0,42947137.0,84954580.0,82717921.0,20387183.0,62330738.0,24678325.0,37652413.0,626970.0
2013-11-23,4953010420.0,4912783533.0,89109018.0,88464354.0,28994052.0,59470302.0,48882131.0,6482889.0,42399242.0,11475436.0,30923806.0,644664.0
2013-11-24,4969849464.0,4953010420.0,102394991.0,101754797.0,57943382.0,43811415.0,85555947.0,7319621.0,78236326.0,9204891.0,69031435.0,640194.0
2013-11-25,5046879939.0,4969849464.0,147143602.0,146505434.0,74040394.0,72465040.0,70113127.0,23796084.0,46317043.0,9657210.0,36659833.0,638168.0
2013-11-26,5239114658.0,5046879939.0,258037702.0,257385328.0,167619964.0,89765364.0,65802983.0,16533187.0,49269796.0,10910790.0,38359006.0,652374.0
2013-11-27,5287759288.0,5239114658.0,134774128.0,134089685.0,57779508.0,76310177.0,86129498.0,13441519.0,72687979.0,8395361.0,64292618.0,684443.0
2013-11-28,5366066122.0,5287759288.0,139760425.0,139046863.0,58319586.0,80727277.0,61453591.0,12326030.0,49127561.0,20095247.0,29032314.0,713562.0
2013-11-29,5364620300.0,5366066122.0,122536344.0,121810671.0,43456530.0,78354141.0,123982166.0,12980677.0,111001489.0,15313495.0,95687994.0,725673.0
2013-11-30,5361825481.0,5364620300.0,116865492.0,116137403.0,58697397.0,57440006.0,119660311.0,10367540.0,109292771.0,21919187.0,87373584.0,728089.0
2013-12-01,5405083240.0,5361825481.0,137889992.0,137174775.0,59786618.0,77388157.0,94632233.0,20461768.0,74170465.0,15707290.0,58463175.0,715217.0
2013-12-02,5621931412.0,5405083240.0,345313258.0,344606438.0,181458812.0,163147626.0,128465086.0,31233938.0,97231148.0,47382011.0,49849137.0,706820.0
2013-12-03,5788936223.0,5621931412.0,268666856.0,267952466.0,96712045.0,171240421.0,101662045.0,25720023.0,75942022.0,22917759.0,53024263.0,714390.0
