t-30,t,t-29,t-28,t-27,t-26,t-25,t-24,t-23,t-22,t-21,t-20,t-19,t-18,t-17,t-16,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1
24332572.0,-5714659.0,10793766.0,3274604.0,34096505.0,6880931.0,41903952.0,-13350185.0,17694549.0,2728680.0,-23459890.0,21335639.0,79355785.0,26105616.0,-17587388.0,-8201625.0,12667854.0,-6563986.0,26022968.0,88745130.0,32533115.0,-2264450.0,30994590.0,-10543943.0,-13066150.0,-1415529.0,57302090.0,9012646.0,-6909757.0,37423.0,1919207.0
10793766.0,18175266.0,3274604.0,34096505.0,6880931.0,41903952.0,-13350185.0,17694549.0,2728680.0,-23459890.0,21335639.0,79355785.0,26105616.0,-17587388.0,-8201625.0,12667854.0,-6563986.0,26022968.0,88745130.0,32533115.0,-2264450.0,30994590.0,-10543943.0,-13066150.0,-1415529.0,57302090.0,9012646.0,-6909757.0,37423.0,1919207.0,-5714659.0
3274604.0,119248950.0,34096505.0,6880931.0,41903952.0,-13350185.0,17694549.0,2728680.0,-23459890.0,21335639.0,79355785.0,26105616.0,-17587388.0,-8201625.0,12667854.0,-6563986.0,26022968.0,88745130.0,32533115.0,-2264450.0,30994590.0,-10543943.0,-13066150.0,-1415529.0,57302090.0,9012646.0,-6909757.0,37423.0,1919207.0,-5714659.0,18175266.0
34096505.0,34762626.0,6880931.0,41903952.0,-13350185.0,17694549.0,2728680.0,-23459890.0,21335639.0,79355785.0,26105616.0,-17587388.0,-8201625.0,12667854.0,-6563986.0,26022968.0,88745130.0,32533115.0,-2264450.0,30994590.0,-10543943.0,-13066150.0,-1415529.0,57302090.0,9012646.0,-6909757.0,37423.0,1919207.0,-5714659.0,18175266.0,119248950.0
6880931.0,-10265495.0,41903952.0,-13350185.0,17694549.0,2728680.0,-23459890.0,21335639.0,79355785.0,26105616.0,-17587388.0,-8201625.0,12667854.0,-6563986.0,26022968.0,88745130.0,32533115.0,-2264450.0,30994590.0,-10543943.0,-13066150.0,-1415529.0,57302090.0,9012646.0,-6909757.0,37423.0,1919207.0,-5714659.0,18175266.0,119248950.0,34762626.0
41903952.0,-12149679.0,-13350185.0,17694549.0,2728680.0,-23459890.0,21335639.0,79355785.0,26105616.0,-17587388.0,-8201625.0,12667854.0,-6563986.0,26022968.0,88745130.0,32533115.0,-2264450.0,30994590.0,-10543943.0,-13066150.0,-1415529.0,57302090.0,9012646.0,-6909757.0,37423.0,1919207.0,-5714659.0,18175266.0,119248950.0,34762626.0,-10265495.0
-13350185.0,-4984895.0,17694549.0,2728680.0,-23459890.0,21335639.0,79355785.0,26105616.0,-17587388.0,-8201625.0,12667854.0,-6563986.0,26022968.0,88745130.0,32533115.0,-2264450.0,30994590.0,-10543943.0,-13066150.0,-1415529.0,57302090.0,9012646.0,-6909757.0,37423.0,1919207.0,-5714659.0,18175266.0,119248950.0,34762626.0,-10265495.0,-12149679.0
17694549.0,-10417307.0,2728680.0,-23459890.0,21335639.0,79355785.0,26105616.0,-17587388.0,-8201625.0,12667854.0,-6563986.0,26022968.0,88745130.0,32533115.0,-2264450.0,30994590.0,-10543943.0,-13066150.0,-1415529.0,57302090.0,9012646.0,-6909757.0,37423.0,1919207.0,-5714659.0,18175266.0,119248950.0,34762626.0,-10265495.0,-12149679.0,-4984895.0
2728680.0,5371723.0,-23459890.0,21335639.0,79355785.0,26105616.0,-17587388.0,-8201625.0,12667854.0,-6563986.0,26022968.0,88745130.0,32533115.0,-2264450.0,30994590.0,-10543943.0,-13066150.0,-1415529.0,57302090.0,9012646.0,-6909757.0,37423.0,1919207.0,-5714659.0,18175266.0,119248950.0,34762626.0,-10265495.0,-12149679.0,-4984895.0,-10417307.0
-23459890.0,28697166.0,21335639.0,79355785.0,26105616.0,-17587388.0,-8201625.0,12667854.0,-6563986.0,26022968.0,88745130.0,32533115.0,-2264450.0,30994590.0,-10543943.0,-13066150.0,-1415529.0,57302090.0,9012646.0,-6909757.0,37423.0,1919207.0,-5714659.0,18175266.0,119248950.0,34762626.0,-10265495.0,-12149679.0,-4984895.0,-10417307.0,5371723.0
